"","Periodo","Puntos_base"
"1",2004-07-01,852
"2",2004-08-01,852
"3",2004-09-01,815
"4",2004-10-01,777
"5",2004-11-01,733
"6",2004-12-01,685
"7",2005-01-01,690
"8",2005-02-01,641
"9",2005-03-01,630
"10",2005-04-01,659
"11",2005-05-01,810
"12",2005-06-01,874
"13",2005-07-01,801
"14",2005-08-01,721
"15",2005-09-01,721
"16",2005-10-01,634
"17",2005-11-01,661
"18",2005-12-01,631
"19",2006-01-01,669
"20",2006-02-01,576
"21",2006-03-01,570
"22",2006-04-01,524
"23",2006-05-01,478
"24",2006-06-01,495
"25",2006-07-01,519
"26",2006-08-01,492
"27",2006-09-01,532
"28",2006-10-01,608
"29",2006-11-01,523
"30",2006-12-01,674
"31",2007-01-01,920
"32",2007-02-01,784
"33",2007-03-01,717
"34",2007-04-01,650
"35",2007-05-01,603
"36",2007-06-01,618
"37",2007-07-01,711
"38",2007-08-01,718
"39",2007-09-01,676
"40",2007-10-01,603
"41",2007-11-01,590
"42",2007-12-01,616
"43",2008-01-01,614
"44",2008-02-01,655
"45",2008-03-01,640
"46",2008-04-01,650
"47",2008-05-01,580
"48",2008-06-01,541
"49",2008-07-01,598
"50",2008-08-01,666
"51",2008-09-01,724
"52",2008-10-01,1078
"53",2008-11-01,3150
"54",2008-12-01,3604
"55",2009-01-01,4731
"56",2009-02-01,3842
"57",2009-03-01,3433
"58",2009-04-01,3519
"59",2009-05-01,3386
"60",2009-06-01,2958
"61",2009-07-01,1323
"62",2009-08-01,1180
"63",2009-09-01,1096
"64",2009-10-01,953
"65",2009-11-01,814
"66",2009-12-01,844
"67",2010-01-01,769
"68",2010-02-01,804
"69",2010-03-01,822
"70",2010-04-01,816
"71",2010-05-01,823
"72",2010-06-01,952
"73",2010-07-01,1014
"74",2010-08-01,1037
"75",2010-09-01,1033
"76",2010-10-01,1010
"77",2010-11-01,1012
"78",2010-12-01,971
"79",2011-01-01,913
"80",2011-02-01,835
"81",2011-03-01,761
"82",2011-04-01,778
"83",2011-05-01,782
"84",2011-06-01,806
"85",2011-07-01,779
"86",2011-08-01,782
"87",2011-09-01,876
"88",2011-10-01,868
"89",2011-11-01,891
"90",2011-12-01,837
"91",2012-01-01,846
"92",2012-02-01,817
"93",2012-03-01,787
"94",2012-04-01,824
"95",2012-05-01,791
"96",2012-06-01,951
"97",2012-07-01,892
"98",2012-08-01,849
"99",2012-09-01,791
"100",2012-10-01,743
"101",2012-11-01,824
"102",2012-12-01,829
"103",2013-01-01,826
"104",2013-02-01,704
"105",2013-03-01,705
"106",2013-04-01,700
"107",2013-05-01,647
"108",2013-06-01,626
"109",2013-07-01,665
"110",2013-08-01,617
"111",2013-09-01,649
"112",2013-10-01,626
"113",2013-11-01,523
"114",2013-12-01,539
"115",2014-01-01,530
"116",2014-02-01,605
"117",2014-03-01,609
"118",2014-04-01,498
"119",2014-05-01,361
"120",2014-06-01,372
"121",2014-07-01,406
"122",2014-08-01,417
"123",2014-09-01,316
"124",2014-10-01,400
"125",2014-11-01,412
"126",2014-12-01,607
"127",2015-01-01,883
"128",2015-02-01,887
"129",2015-03-01,763
"130",2015-04-01,868
"131",2015-05-01,671
"132",2015-06-01,730
"133",2015-07-01,826
"134",2015-08-01,980
"135",2015-09-01,1348
"136",2015-10-01,1498
"137",2015-11-01,1252
"138",2015-12-01,1190
"139",2016-01-01,1509
"140",2016-02-01,1391
"141",2016-03-01,1058
"142",2016-04-01,941
"143",2016-05-01,855
"144",2016-06-01,913
"145",2016-07-01,877
"146",2016-08-01,863
"147",2016-09-01,845
"148",2016-10-01,743
"149",2016-11-01,736
"150",2016-12-01,647
"151",2017-01-01,590
"152",2017-02-01,572
